z(m),p_tot(bar),T(K),p_H2O(bar),p_CO2(bar),p_CO(bar),p_H2(bar),p_CH4(bar),p_O2(bar)
38694.63287869767,122.57968686450216,1929.6758650476413,56.26848094723862,65.8208421486727,NaN,NaN,NaN,NaN
39812.13716529845,119.95543146352637,1923.5972677243567,55.06175763928212,64.41379254303418,NaN,NaN,NaN,NaN
40926.46725366742,117.38736707296937,1917.5331249201713,53.88096531589163,63.03677919382501,NaN,NaN,NaN,NaN
42037.63323218495,114.87428105757668,1911.4834263463576,52.72554041687748,61.6891578258161,NaN,NaN,NaN,NaN
43145.64514377636,112.41498735068556,1905.4481607889736,51.59493187416161,60.37029813616456,NaN,NaN,NaN,NaN
44250.5006765556,110.0083524658951,1899.4273819612338,50.488613059670946,59.07959775419031,NaN,NaN,NaN,NaN
45352.213978778535,107.65323131576372,1893.4210544950236,49.406052332850244,57.816447769376445,NaN,NaN,NaN,NaN
46450.78278755096,105.3485384269343,1887.4292297159852,48.34674566774174,56.58027103406051,NaN,NaN,NaN,NaN
47546.221206215276,103.09317721641513,1881.4518703272727,47.310184232441856,55.3704841435063,NaN,NaN,NaN,NaN
48638.527020158595,100.88610819012132,1875.4890253406236,46.29588562787241,54.18653412236084,NaN,NaN,NaN,NaN
49727.714287444636,98.7262812149227,1869.5406556039343,45.30336284084465,53.02786201489014,NaN,NaN,NaN,NaN
50813.78084101297,96.61270082838314,1863.606807887808,44.33215416025748,51.89393801678915,NaN,NaN,NaN,NaN
51896.74069326548,94.54436137967863,1857.6874412581412,43.381793445560106,50.78422660740125,NaN,NaN,NaN,NaN
52976.591723951744,92.52030957289594,1851.782600317335,42.45183877635187,49.69822019277724,NaN,NaN,NaN,NaN
54053.34390071967,90.53958965451737,1845.8922638904828,41.54184732956011,48.63540963553387,NaN,NaN,NaN,NaN
55127.00714522626,88.60126681138907,1840.016410079609,40.65138607478762,47.595296863540575,NaN,NaN,NaN,NaN
56197.57940602028,86.70444767214258,1834.1550803711878,39.78004118608437,46.577405877562235,NaN,NaN,NaN,NaN
57265.07457960725,84.84822972190625,1828.3082296938078,38.92739483536821,45.58125557501267,NaN,NaN,NaN,NaN
58329.490659450465,83.03175743138804,1822.4758975456089,38.093050909562855,44.60638993700642,NaN,NaN,NaN,NaN
