z(m),p_tot(bar),T(K),p_H2O(bar),p_CO2(bar),p_CO(bar),p_H2(bar),p_CH4(bar),p_O2(bar)
0.0,190.68019,2347.47,34.724590000000006,154.9556,NaN,NaN,NaN,NaN
1083.2660858308714,186.64882916582542,2341.0648428136246,33.990442671382546,151.67952849579171,NaN,NaN,NaN,NaN
2163.930421047923,182.7026993678453,2334.6667276020517,33.2706850378636,148.47384409223469,NaN,NaN,NaN,NaN
3241.9935950773797,178.8399990962666,2328.2758335073477,32.566190296305805,145.33588923310998,NaN,NaN,NaN,NaN
4317.456774847353,175.0589631586652,2321.8922859699637,31.87663528770425,142.26423113143403,NaN,NaN,NaN,NaN
5390.320066420224,171.35786760227222,2315.5162155977087,31.201702740330806,139.25747212591952,NaN,NaN,NaN,NaN
6460.585386050124,167.73501891702827,2309.147741497727,30.541081073593524,136.31423914814306,NaN,NaN,NaN,NaN
7528.253215813575,164.18876451239612,2302.7869901625704,29.894466299285927,133.43319224312188,NaN,NaN,NaN,NaN
8593.324599689207,160.71748503180532,2296.4340838218554,29.26156061893892,130.61301832669275,NaN,NaN,NaN,NaN
9655.799656850904,157.31959848596853,2290.0891491191314,28.642073168695042,127.85243455222707,NaN,NaN,NaN,NaN
10715.681530860116,153.99354693950053,2283.7522939582473,28.035717590971448,125.15017749538286,NaN,NaN,NaN,NaN
11772.970461161452,150.7378147874133,2277.423642208933,27.442215353589976,122.5050180155618,NaN,NaN,NaN,NaN
12827.667736974781,147.55091533680476,2271.1033105397755,26.861293306099068,119.91575035164637,NaN,NaN,NaN,NaN
13879.774707613285,144.43139332643986,2264.791414195347,26.292684130505986,117.38119417758293,NaN,NaN,NaN,NaN
14929.2927819767,141.37782426222245,2258.4880669837435,25.73612621630852,114.90019406628181,NaN,NaN,NaN,NaN
15976.222455673184,138.38881652081028,2252.1933870020052,25.191364038854005,112.47162120381071,NaN,NaN,NaN,NaN
17020.56817225455,135.46299694241273,2245.907467939259,24.658145532943696,110.09436168412753,NaN,NaN,NaN,NaN
18062.328599268243,132.5990377484812,2239.630436437033,24.136226985697082,107.76733839268147,NaN,NaN,NaN,NaN
19101.50442072009,129.79563355682816,2233.3624061336805,23.62536885416482,105.48949232448221,NaN,NaN,NaN,NaN
20138.10120082933,127.05149378103928,2227.103460621149,23.125334373475745,103.25977641517619,NaN,NaN,NaN,NaN
21172.118759876394,124.36537061877358,2220.8537163025944,22.635894646388095,101.07717829296656,NaN,NaN,NaN,NaN
22203.55890893841,121.73603748256892,2214.613276631803,22.156824719247833,98.94070274660271,NaN,NaN,NaN,NaN
23232.42351431667,119.16229371747849,2208.382243547558,21.687904433182304,96.84937556703117,NaN,NaN,NaN,NaN
24258.714496956007,116.64296405280837,2202.1607174664405,21.228918322104047,94.80224310399066,NaN,NaN,NaN,NaN
25282.433831859318,114.17689806544152,2195.94879727623,20.779655511916886,92.79837183292517,NaN,NaN,NaN,NaN
26303.583547495055,111.76296965451087,2189.746580330023,20.339909621917464,90.83684793099145,NaN,NaN,NaN,NaN
27322.16572519894,109.40007652717809,2183.5541624407865,19.909478668344192,88.91677686196792,NaN,NaN,NaN,NaN
28338.182498570037,107.08713969528432,2177.371637876492,19.48816497002524,87.03728296987961,NaN,NaN,NaN,NaN
29351.636052861693,104.82310298264227,2171.1990993562654,19.07577505607886,85.19750908115763,NaN,NaN,NaN,NaN
30362.52674667844,102.6069366267372,2165.0366492797098,18.672120318813626,83.3966194345319,NaN,NaN,NaN,NaN
31370.86062676781,100.43762038432294,2158.884354772692,18.277013937523144,81.63378595143571,NaN,NaN,NaN,NaN
32376.638147295125,98.3141678341142,2152.7423151397056,17.890275296217876,79.90820799346253,NaN,NaN,NaN,NaN
33379.863557370445,96.23560549535883,2146.610605696868,17.51172618528498,78.21909538881629,NaN,NaN,NaN,NaN
34380.53370104557,94.20099570924819,2140.4893449079373,17.141194959951093,76.56568703520605,NaN,NaN,NaN,NaN
35378.65850446124,92.20939423137325,2134.378571473325,16.778508824874557,74.94721643015865,NaN,NaN,NaN,NaN
36374.23307198075,90.25990646217573,2128.27841179631,16.42350405818333,73.36295738243506,NaN,NaN,NaN,NaN
37367.263696773676,88.35163469481783,2122.1889238085228,16.076016418630388,71.81218112948552,NaN,NaN,NaN,NaN
38357.75668033598,86.48370065753879,2116.1101640367106,15.73588523844397,70.29417466865628,NaN,NaN,NaN,NaN
39345.70732178796,84.65526530046738,2110.0422539726897,15.40295702505166,68.80825683849767,NaN,NaN,NaN,NaN
40331.12568253,82.86548006292378,2103.9852249079713,15.077076594915571,67.35373870785847,NaN,NaN,NaN,NaN
41314.00718819257,81.1135409983857,2097.939195067293,14.758096913800436,65.92996757662668,NaN,NaN,NaN,NaN
42294.36194989671,79.39863504742655,2091.904192798061,14.44586932665067,64.5362833006462,NaN,NaN,NaN,NaN
43272.18551710359,77.71999189825318,2085.8803330690994,14.140252985282213,63.17206045247984,NaN,NaN,NaN,NaN
44247.48804813815,76.07683250742515,2079.8676413011567,13.841105487065294,61.83666647350961,NaN,NaN,NaN,NaN
45220.26521360319,74.46841879070172,2073.866229222354,13.548291908257191,60.52950207075169,NaN,NaN,NaN,NaN
46190.527216508366,72.8940042975011,2067.876119348354,13.261675834383025,59.24996111970034,NaN,NaN,NaN,NaN
47158.2698459045,71.35288182282979,2061.8974201860237,12.98112801570339,57.99746937099761,NaN,NaN,NaN,NaN
48123.49976141494,69.84434170530605,2055.930173125956,12.70651878439843,56.77145055004754,NaN,NaN,NaN,NaN
49086.223624306214,68.36768964749935,2049.9744182127174,12.437721291060367,55.57134084735025,NaN,NaN,NaN,NaN
50046.43739624965,66.92226235793657,2044.0302591663533,12.174614351250105,54.396601631906165,NaN,NaN,NaN,NaN
51004.15138097018,65.50738902659528,2038.0977113585116,11.917075437476399,53.246688136816296,NaN,NaN,NaN,NaN
51959.36165185909,64.1224341121431,2032.1768753532228,11.664988458328784,52.121084242913945,NaN,NaN,NaN,NaN
52912.0785485528,62.766754869252196,2026.2677637212953,11.418236035147292,51.019267952225036,NaN,NaN,NaN,NaN
